Suburb,AGE,DESCRIPTION,FEM_POP,MALE_POP,TOTAL_POP,MODE_DEM,COMMUTE,NO_ARTS,DOG_PARK,NO_GRAFITTI,GRAFFITI_IMG,NO_BBQ,NO_PARKS_AND_PLAYGROUNDS,NO_FIT_SITES,NO_BB_CRTS,NO_SKATE_PARKS,NO_HOSPITALS
Barton,1922,,3038 (Combined with Kingston),2901 (Combined with Kingston),5940 (Combined with Kingston),FEMALE AGE 30,6.44,0,0,0,,6,1,0,0,0,0
Kowen,#N/A,,17,23,40,MALE AGE 1,11.41,0,0,0,,0,0,0,0,0,0
LakeBurleyGriffin,#N/A,,0,0,0,FEMALE AGE 0,0,0,0,0,,0,0,0,0,0,0
Latham,1971,,1742,1616,3358,FEMALE AGE 4,13.44,0,0,2,"http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg, http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg",1,1,0,0,2,0
Lawson,2015,,615,625,1240,MALE AGE 25,12.04,0,0,0,,0,1,0,0,0,0
Lyneham,1928,,2571,2547,5118,MALE AGE 28,7.78,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,0,1,0,1,1,0
Lyons,1965,,1583,1669,3252,FEMALE AGE 85+,8.77,0,0,0,,0,0,0,1,0,0
Macarthur,1983,,634,776,1410,MALE AGE 21,14.74,0,0,0,,0,1,0,1,0,0
Macgregor,1971,,3428,3304,6732,FEMALE AGE 32,16.1,0,0,0,,0,0,0,1,0,0
Macquarie,1967,,1402,1393,2795,FEMALE AGE 22,10.03,0,0,0,,0,1,0,0,0,0
Majura,#N/A,,105,148,253,MALE AGE 39,7.19,0,0,0,,0,0,0,0,0,0
Mawson,1967,,1512,1531,3043,FEMALE AGE 85+,11.85,0,0,0,,0,1,0,0,0,0
McKellar,1974,,1495,1382,2877,FEMALE AGE 51,11.85,0,0,0,,0,0,0,0,0,0
Melba,1972,,1578,1559,3137,FEMALE AGE 42,13.38,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,0,1,0,0,1,0
Mitchell,#N/A,,5,4,9,FEMALE AGE 24,0,0,0,0,,0,0,0,0,0,0
Molonglo,#N/A,,545,556,1101,MALE AGE 25,37.09,0,0,0,,0,0,0,0,0,0
Monash,1978,,2658,2613,5271,FEMALE AGE 85+,13.33,0,0,0,,0,0,0,1,0,0
MountTaylor,#N/A,,1,2,3,FEMALE AGE 10,0,0,0,0,,0,0,0,0,0,0
Namadgi,#N/A,,15,16,31,MALE AGE 54,29.59,0,0,0,,0,0,0,0,0,0
Narrabundah,1947,,3219,3049,6268,FEMALE AGE 85+,7.38,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,0,1,0,1,1,0
Ngunnawal,1993,,5494,5414,10908,FEMALE AGE 34,15.34,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,0,1,0,1,1,0
Nicholls,1994,,3355,3361,6716,FEMALE AGE 50,13.84,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,1,0,0,1,1,0
O'Connor,1928,"O'Connor is bounded by Wattle and David streets, and also includes the Bruce/O'Connor ridge nature reserve, the hilly area with many trees that lies between the houses in O'Connor, and the Australian Institute of Sport (in the suburb of Bruce). Sports such as soccer, rugby and cricket are often played at the ovals at O'Connor district playing fields.",2922,2816,5738,FEMALE AGE 22,6.52,0,1,0,,0,1,0,1,0,0
O'Malley,1973,,507,476,983,FEMALE AGE 71,8.84,0,0,0,,0,1,0,0,0,0
Oxley,1985,,845,865,1710,MALE AGE 15,12.7,0,0,0,,0,0,0,0,0,0
Page,#N/A,,1563,1335,2898,FEMALE AGE 85+,11.23,0,0,0,,0,0,0,0,0,0
Palmerston,1994,,2868,2712,5580,FEMALE AGE 50,13,0,0,0,,0,1,0,0,0,0
Parkes,1922,"Located south-east of the Canberra central business district, Parkes contains the Parliamentary Triangle and many of the national monuments of Australia's capital city. Parkes is named in honour of Sir Henry Parkes, a Federalist, legislator and one of the founders of the Australian Constitution. Streets in Parkes are named after monarchs and constitutional references.",0,0,0,FEMALE AGE 0,0,0,0,0,,0,0,0,0,0,0
Pearce,1967,,1199,1238,2437,FEMALE AGE 85+,9.26,0,0,0,,0,0,0,0,0,0
Phillip,1966,,1290,1224,2514,FEMALE AGE 27,7.17,0,0,0,,1,1,9,1,0,0
Red Hill,1928,,1598,1642,3240,FEMALE AGE 85+,7.12,0,0,0,,0,1,0,0,0,0
Reid,1928,"Reid is a suburb of Canberra, Australian Capital Territory, Australia. Reid is one of the oldest suburbs in Canberra. Separating the suburbs of Reid and Campbell is Anzac Parade, a ceremonial boulevarde running along Canberra's primary design axis (the land axis) from Lake Burley Griffin to the Australian War Memorial. Located in Reid are the Canberra Institute of Technology and St John the Baptist Church, which is the oldest church in Canberra.",882,980,1862,MALE AGE 24,4.94,0,0,0,,0,1,0,0,0,0
Richardson,1981,,1486,1407,2893,FEMALE AGE 27,14.21,0,0,0,,0,0,0,0,0,0
Rivett,1970,,1457,1371,2828,FEMALE AGE 85+,11.6,0,0,0,,1,1,3,0,0,0
Scullin,1968,,1359,1473,2832,MALE AGE 30,12.5,0,0,0,,0,0,0,0,0,0
Spence,1972,,1282,1258,2540,FEMALE AGE 39,13.77,0,0,0,,0,1,0,0,0,0
Stirling,1970,,992,962,1954,FEMALE AGE 85+,1.28,0,0,0,,0,1,0,0,0,0
Theodore,1986,,1893,1891,3784,MALE AGE 55,16.13,0,0,0,,0,0,7,0,0,0
Torrens,1966,,1117,1018,2135,FEMALE AGE 85+,10.25,0,0,0,,0,1,0,0,0,0
Tuggeranong,#N/A,,14,17,31,FEMALE AGE 63,26.91,7,0,0,,0,0,0,0,0,0
Turner,1928,"Turner is named after Sir George Turner, a Federalist, legislator and one of the founders of the Australian Constitution. He was a Premier of Victoria, and later Federal Treasurer under prime ministers Barton, Deakin and Reid. Streets in Turner are mostly named after writers, legislators and pioneers.",2019,2185,4204,MALE AGE 26,5.74,0,0,0,,1,1,0,0,0,0
Wanniassa,1975,,3697,3673,7370,FEMALE AGE 64,12.52,0,0,0,,0,1,0,1,0,0
Waramanga,1968,,1148,1157,2305,FEMALE AGE 85+,10.26,0,0,1,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,0,0,0,2,1,0
Watson,1960,,3310,3217,6527,MALE AGE 35,10.05,1,0,0,,0,0,0,0,0,0
Weetangera,1968,,1294,1260,2554,FEMALE AGE 85+,10.83,0,0,0,,0,0,0,0,0,0
Weston,1970,,1663,1712,3375,FEMALE AGE 85+,10.83,0,0,0,,1,1,3,1,0,0
Woden,1966,,1663,1712,3375,FEMALE AGE 85+,7.17,7,0,1,17306753.jpg,0,0,0,0,1,0
Yarralumla,1928,,-381.5,1313,2812,FEMALE AGE 85+,6.69,0,1,0,,13,2,16,0,0,0
